location_id,location_name,latitude,longitude,date,no2_valid_pixels,no2_mean,no2_std,no2_min,no2_max,no2_median,co_valid_pixels,co_mean,co_std,co_min,co_max,co_median,so2_valid_pixels,so2_mean,so2_std,so2_min,so2_max,so2_median,aer_ai_340_380_valid_pixels,aer_ai_340_380_mean,aer_ai_340_380_std,aer_ai_340_380_min,aer_ai_340_380_max,aer_ai_340_380_median,s2_valid_pixels,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,ndvi_median,ndbi_mean,ndbi_std,ndbi_min,ndbi_max,ndbi_median,ndwi_mean,ndwi_std,ndwi_min,ndwi_max,ndwi_median,day_of_week,month,day_of_year
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2025-10-01,0,,,,,,0.0,,,,,,2.0,0.00017275627760682255,0.0,0.00017275627760682255,0.00017275627760682255,0.00017275627760682255,156,-1.575626015663147,0.3515241742134094,-2.916213035583496,-0.6601431369781494,-1.6324636936187744,0,,,,,,,,,,,,,,,,2,10,274
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2025-10-02,111,4.448330219020136e-05,1.82580879481975e-05,1.2418437108863145e-05,9.283754479838535e-05,3.9185175410239026e-05,156.0,0.02919950895011425,0.0020158884581178427,0.026045337319374084,0.0343487486243248,0.029227586463093758,143.0,5.7153280067723244e-05,0.00021322857355698943,-0.00038199301343411207,0.0005178247229196131,8.188369974959642e-05,145,-0.31053784489631653,0.5932461023330688,-1.62838613986969,0.950221836566925,-0.5299379825592041,0,,,,,,,,,,,,,,,,3,10,275
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2025-10-03,140,4.9801983550423756e-05,2.4888586267479695e-05,1.6848465747898445e-05,0.00014067617303226143,4.2620602471288294e-05,156.0,0.03029741160571575,0.0020377659238874912,0.026621965691447258,0.03458012640476227,0.030033601447939873,153.0,5.95442543271929e-06,0.0001093501050490886,-0.00029119045939296484,0.0002958928234875202,1.0045291674032342e-06,156,-0.42668959498405457,0.33611491322517395,-1.0748631954193115,0.44211599230766296,-0.44556161761283875,0,,,,,,,,,,,,,,,,4,10,276
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2025-10-04,65,7.406661461573094e-05,2.4917342670960352e-05,3.218982965336181e-05,0.00012690937728621066,6.840758578618988e-05,35.0,0.031674861907958984,0.0028589004650712013,0.02755393646657467,0.03988615423440933,0.03188362717628479,110.0,2.660625341377454e-06,0.00010819087037816644,-0.0002654087729752064,0.00032207078766077757,-1.7505222785985097e-05,156,-0.5990940928459167,0.25671908259391785,-1.113178014755249,0.1700640320777893,-0.6623560786247253,45954,-0.013211701065301895,0.002232464961707592,-0.022804051637649536,-0.0043041598983109,-0.013170243240892887,-0.5319629311561584,0.008722472935914993,-0.5567635893821716,-0.5106051564216614,-0.5316234230995178,0.049548614770174026,0.0020691175013780594,0.04112061485648155,0.05762708559632301,0.04954952374100685,5,10,277
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2025-10-05,146,3.973056664108299e-05,1.1233290024392772e-05,1.765756132954266e-05,7.451422425219789e-05,3.855479371850379e-05,144.0,0.032580893486738205,0.0028371065855026245,0.024151677265763283,0.03795873746275902,0.03274037688970566,154.0,2.3356182282441296e-05,0.00011919853568542749,-0.00042930670315399766,0.00027018116088584065,3.756191290449351e-05,156,-1.33735191822052,0.2861087918281555,-2.258255958557129,-0.03828393295407295,-1.335277795791626,0,,,,,,,,,,,,,,,,6,10,278
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2025-10-06,0,,,,,,0.0,,,,,,0.0,,,,,,156,-0.69378662109375,0.10611814260482788,-0.9121906757354736,-0.4545518159866333,-0.6892850995063782,0,,,,,,,,,,,,,,,,0,10,279
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2025-10-07,0,,,,,,0.0,,,,,,0.0,,,,,,156,-0.7332817316055298,0.11804552376270294,-1.0689420700073242,-0.4776632487773895,-0.7175555229187012,0,,,,,,,,,,,,,,,,1,10,280
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2025-10-08,76,6.075139026506804e-05,1.1632814675976988e-05,4.5055778173264116e-05,8.789696585154161e-05,5.5352531489916146e-05,86.0,0.031718660145998,0.002680334495380521,0.026413805782794952,0.03656528890132904,0.031635209918022156,124.0,4.468633051146753e-06,0.00012595838052220643,-0.00031614204635843635,0.00037231779424473643,3.5544571801437996e-06,156,0.057240553200244904,0.3715769946575165,-0.5425646305084229,1.0503507852554321,-0.005714360158890486,0,,,,,,,,,,,,,,,,2,10,281
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2025-10-09,112,4.350321614765562e-05,1.028696078719804e-05,2.089221015921794e-05,7.944311073515564e-05,4.285560135031119e-05,156.0,0.03471425548195839,0.0020877739880234003,0.026907823979854584,0.04039808735251427,0.034831974655389786,147.0,1.659564622968901e-05,9.997886081691831e-05,-0.00022631694446317852,0.0003184234374202788,9.801932719710749e-06,156,-0.997094988822937,0.3987639546394348,-1.6618680953979492,0.4681067168712616,-1.0761675834655762,45954,0.008260729722678661,0.10845579952001572,-0.44805529713630676,0.7081367373466492,-0.017921078950166702,0.01250777393579483,0.11755964159965515,-0.4741153419017792,0.6399036645889282,-0.013981622643768787,0.009109558537602425,0.10097815096378326,-0.6238313913345337,0.41260889172554016,0.04184964299201965,3,10,282
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2025-10-10,131,4.64946569991298e-05,1.2446701475710142e-05,1.9268814867245965e-05,9.0439134510234e-05,4.5012759073870257e-05,156.0,0.03661765903234482,0.0030568395741283894,0.027436355128884315,0.04376761242747307,0.03646606206893921,151.0,4.648057802114636e-05,0.00014532952627632767,-0.0003695329651236534,0.00045309748384170234,5.729447366320528e-05,156,-1.4262967109680176,0.267316073179245,-1.9494473934173584,-0.3853943645954132,-1.4871095418930054,0,,,,,,,,,,,,,,,,4,10,283
