location_id,date,hcho_mean
1285357,2021-01-11,-0.00011094237489827891
2161290,2021-01-11,9.676649206574689e-05
2161291,2021-01-11,8.674686263452474e-05
2161292,2021-01-11,-0.00011094237408427591
2161293,2021-01-11,8.682241702824209e-05
2161294,2021-01-11,-0.0001109423756830222
2161295,2021-01-11,-0.00011094237525137302
2161296,2021-01-11,-0.00011094237569173767
2161298,2021-01-11,-0.0001109423756212541
2161299,2021-01-11,-0.00011094237576125998
2161300,2021-01-11,-0.00011094237564846405
2161301,2021-01-11,-0.00011094237382257223
2161303,2021-01-11,-0.00011094237534689023
2161304,2021-01-11,-0.00011094237543003845
2161306,2021-01-11,8.674686262369681e-05
2161307,2021-01-11,8.674686296880586e-05
2161308,2021-01-11,
2161309,2021-01-11,
2161313,2021-01-11,-0.00011094237307568198
2161314,2021-01-11,-0.00011094237476636881
2161315,2021-01-11,8.87441596425704e-05
2161316,2021-01-11,-0.00011094237533743989
2161318,2021-01-11,-0.00011094237556749106
2161320,2021-01-11,0.00016465539441916767
2161321,2021-01-11,8.674686280350187e-05
2161322,2021-01-11,
4946811,2021-01-11,-0.00011094237605200502
4946812,2021-01-11,5.573678728952091e-05
4946813,2021-01-11,-0.0001109423750336501
6123215,2021-01-11,
18,2021-01-01,0.00018488437168528266
2539,2021-01-01,0.00020505993140018626
7441,2021-01-01,0.00020498327978006977
307169,2021-01-01,0.0001587765892157521
1285357,2021-01-01,0.00018525406430805341
2161290,2021-01-01,0.00025387579516674536
2161291,2021-01-01,0.00024597753779705784
2161292,2021-01-01,0.00026489794029358865
2161293,2021-01-01,0.00027006358463957185
2161294,2021-01-01,0.00016510951734339917
2161295,2021-01-01,0.00022290257706118099
2161296,2021-01-01,0.0001439109163859847
2161298,2021-01-01,0.00015017228535815305
2161299,2021-01-01,0.00012731911800274113
2161300,2021-01-01,0.0001654053374107182
2161301,2021-01-01,0.00027156473929752036
2161303,2021-01-01,0.00022653029940182206
2161304,2021-01-01,0.00014388342620955181
2161306,2021-01-01,0.0002559971509936684
2161307,2021-01-01,0.0002672129185653317
2161308,2021-01-01,0.00020739887140757535
2161309,2021-01-01,0.00023367063617300753
2161313,2021-01-01,0.00027180147136342606
2161314,2021-01-01,0.0001786852630300679
2161315,2021-01-01,0.0003079319499503868
2161316,2021-01-01,0.0002205758297725816
2161318,2021-01-01,0.00014025544341340657
2161320,2021-01-01,0.0002637980658372812
2161321,2021-01-01,0.00027050188382499673
2161322,2021-01-01,0.00019254309461941394
4946811,2021-01-01,0.00019433313691596154
4946812,2021-01-01,0.00029642493737246426
4946813,2021-01-01,0.00023039661336362655
6123215,2021-01-01,0.00025603732122614126
18,2021-01-12,0.0001365153074089339
2539,2021-01-12,0.00017564467262644635
7441,2021-01-12,0.00017561962208978107
307169,2021-01-12,0.0001659458474656872
1285357,2021-01-12,0.0001368735973661475
2161290,2021-01-12,7.732555482266896e-05
2161291,2021-01-12,0.00012117166496822577
2161292,2021-01-12,0.00018722548136262607
2161293,2021-01-12,0.00013314984452528328
2161294,2021-01-12,0.0001533116057800711
2161295,2021-01-12,0.00014233111539462234
2161296,2021-01-12,0.0001526760518991445
2161298,2021-01-12,0.00015540822401093448
2161299,2021-01-12,0.0001539178114585044
2161300,2021-01-12,0.00015768542426703258
2161301,2021-01-12,0.00019775412613959553
2161303,2021-01-12,0.00017295043568506217
2161304,2021-01-12,0.0001643258826235448
2161306,2021-01-12,0.00015166924451595767
2161307,2021-01-12,0.00013915040368137361
2161308,2021-01-12,0.00011823634630133916
2161309,2021-01-12,0.0002091179542462731
2161313,2021-01-12,0.00014457616070451523
2161314,2021-01-12,0.00012049269542292824
2161315,2021-01-12,0.00010815711651985685
2161316,2021-01-12,0.00017992217755501727
2161318,2021-01-12,0.00013177210874642275
2161320,2021-01-12,9.743901742808324e-05
2161321,2021-01-12,0.00021779372750987342
2161322,2021-01-12,0.00015427880936602298
4946811,2021-01-12,0.00014774940474077374
4946812,2021-01-12,0.00020025690391204683
4946813,2021-01-12,0.00016615035946157102
6123215,2021-01-12,0.00016390048067288274
18,2021-01-17,
2539,2021-01-17,
7441,2021-01-17,
307169,2021-01-17,
1285357,2021-01-17,
2161290,2021-01-17,
2161291,2021-01-17,
