hcho_valid_pixels,hcho_mean,hcho_std,hcho_min,hcho_max,hcho_median,location_id,date,month
29,9.095903806155547e-05,8.145543688442558e-05,-2.410782690276392e-05,0.0003339428512845,7.77401146478951e-05,4946813,2026-01-19,1
28,7.842642662581056e-05,9.071087697520852e-05,-5.715740189771168e-05,0.0003313114284537,5.629294901154936e-05,4946813,2026-01-20,1
0,,,,,,4946813,2026-01-21,1
0,,,,,,4946813,2026-01-22,1
0,,,,,,4946813,2026-01-23,1
0,,,,,,4946813,2026-01-24,1
1,9.37355071073398e-05,0.0,9.37355071073398e-05,9.37355071073398e-05,9.37355071073398e-05,4946813,2026-01-25,1
0,,,,,,4946813,2026-01-26,1
5,9.644740930525586e-05,4.901015927316621e-05,9.521413062429928e-07,0.0001417244056938,0.0001131868411903,4946813,2026-01-27,1
52,0.0001214783842442,4.730931686935946e-05,3.702771573443897e-05,0.0002306225069332,0.0001231327914865,4946813,2026-01-28,1
26,7.747434574412182e-05,5.52513483853545e-05,-7.295182149391621e-05,0.000201787072001,7.928111881483346e-05,4946813,2026-01-29,1
0,,,,,,4946813,2026-01-30,1
0,,,,,,4946813,2026-01-31,1
109,0.00010832890257,6.512663821922615e-05,-5.04434465256054e-05,0.0002879974781535,0.0001183001513709,4946813,2026-02-01,2
0,,,,,,4946813,2026-02-02,2
0,,,,,,4946813,2026-02-03,2
1,5.5609179980820045e-05,0.0,5.5609179980820045e-05,5.5609179980820045e-05,5.5609179980820045e-05,4946813,2026-02-04,2
0,,,,,,4946813,2026-02-05,2
33,0.0001219236874021,4.38710703747347e-05,4.3288131564622745e-05,0.0001858273753896,0.000135902344482,4946813,2026-02-06,2
0,,,,,,4946813,2026-02-07,2
0,,,,,,4946813,2026-02-08,2
0,,,,,,4946813,2026-02-09,2
143,0.0001878345647128,0.0001049429847626,-4.423803693498485e-05,0.0005391070153564,0.0001752916432451,4946813,2026-02-10,2
0,,,,,,4946813,2026-02-11,2
5,8.250905375462025e-05,9.001732905744575e-06,7.148422446334735e-05,8.985893509816378e-05,8.985893509816378e-05,4946813,2026-02-12,2
0,,,,,,4946813,2026-02-13,2
0,,,,,,4946813,2026-02-14,2
128,0.0001400647306581,7.929513230919838e-05,-5.762062210123986e-05,0.0004481340001802,0.0001320546289207,4946813,2026-02-15,2
123,0.0001546405692351,6.755109643563628e-05,9.218429113388993e-06,0.0003524415078572,0.0001523108076071,4946813,2026-02-16,2
0,,,,,,4946813,2026-02-17,2
0,,,,,,4946813,2026-02-18,2
0,,,,,,4946813,2026-02-19,2
156,0.0001605797297088,9.630584099795668e-05,-0.0001482074294472,0.0004755316185764,0.0001633218489587,4946813,2026-02-20,2
