location_id,date,aod_mean
2161298,2021-01-18,0.4159569733644638
2161299,2021-01-18,0.41168296635211116
2161300,2021-01-18,0.4192937910988276
2161301,2021-01-18,0.44319289723152383
2161303,2021-01-18,0.4370308791994281
2161304,2021-01-18,0.42268176187526796
2161306,2021-01-18,0.41797883510688383
2161307,2021-01-18,0.4246783614640623
2161308,2021-01-18,0.41106705747783834
2161309,2021-01-18,0.45011790207813
2161313,2021-01-18,0.4423728039187979
2161314,2021-01-18,0.4003249081101721
2161315,2021-01-18,0.4208720103578154
2161316,2021-01-18,0.4313740585375156
2161318,2021-01-18,0.38921002749240335
2161320,2021-01-18,0.3505496307098839
2161321,2021-01-18,0.43505490934777485
2161322,2021-01-18,0.39219552533759944
4946811,2021-01-18,0.39453718268732607
4946812,2021-01-18,0.4348320543792335
4946813,2021-01-18,0.43704759647293073
6123215,2021-01-18,0.39337239252248435
18,2021-01-23,1.3008138448297062
2539,2021-01-23,1.3204281277728485
7441,2021-01-23,1.320168084153984
307169,2021-01-23,1.304075209679637
1285357,2021-01-23,1.3008516137010016
2161290,2021-01-23,
2161291,2021-01-23,1.3315851766259492
2161292,2021-01-23,1.3234983617300133
2161293,2021-01-23,1.4768122897982063
2161294,2021-01-23,1.3171610000865124
2161295,2021-01-23,1.3416064900662255
2161296,2021-01-23,1.297359198772895
2161298,2021-01-23,1.3055232278363866
2161299,2021-01-23,1.2797530459231492
2161300,2021-01-23,1.3179171495834838
2161301,2021-01-23,1.3265832479799706
2161303,2021-01-23,1.3287391559776753
2161304,2021-01-23,1.2897859201317419
2161306,2021-01-23,1.3314923632780424
2161307,2021-01-23,1.3348880534670007
2161308,2021-01-23,1.3193623534767271
2161309,2021-01-23,1.3458649889123815
2161313,2021-01-23,1.3524756182404656
2161314,2021-01-23,1.302992033784433
2161315,2021-01-23,1.376868292682927
2161316,2021-01-23,1.322747455162385
2161318,2021-01-23,1.239757221657715
2161320,2021-01-23,1.1895300842075553
2161321,2021-01-23,1.305358956641907
2161322,2021-01-23,1.3151777338066697
4946811,2021-01-23,1.306153589092367
4946812,2021-01-23,1.31341103848947
4946813,2021-01-23,1.3303694105691057
6123215,2021-01-23,1.3866478647800755
18,2021-01-22,
2539,2021-01-22,
