location_id,date,hcho_mean,hcho_max,hcho_morning,month
2161292,2024-11-20,5.083333333333333,8.4,3.3499999999999996,11
2161292,2024-11-21,4.3875,7.8,3.025,11
2161292,2024-11-22,4.8125,7.7,3.1,11
2161292,2024-11-23,4.833333333333333,7.7,3.775,11
2161292,2024-11-24,3.779166666666667,5.0,3.075,11
2161292,2024-11-25,4.266666666666667,5.5,4.300000000000001,11
2161292,2024-11-26,2.85,4.3,1.85,11
2161292,2024-11-27,3.220833333333333,4.3,2.875,11
2161292,2024-11-28,2.966666666666667,4.6,2.2,11
2161292,2024-11-29,4.783333333333333,7.4,5.05,11
2161292,2024-11-30,6.679166666666667,9.4,8.6,11
2161292,2024-12-01,4.304166666666666,5.8,5.225,12
2161292,2024-12-02,3.6999999999999997,6.0,3.725,12
2161292,2024-12-03,2.4375,3.5,1.875,12
2161292,2024-12-04,2.654166666666667,3.6,2.125,12
2161292,2024-12-05,3.3541666666666665,4.6,3.525,12
2161292,2024-12-06,2.6958333333333333,4.5,2.125,12
2161292,2024-12-07,3.266666666666667,4.3,3.225,12
2161292,2024-12-08,2.2375000000000003,3.3,1.375,12
2161292,2024-12-09,3.8958333333333335,6.2,2.725,12
2161292,2024-12-10,5.683333333333334,6.5,6.2,12
2161292,2024-12-11,4.266666666666667,5.3,4.875,12
2161292,2024-12-12,3.0500000000000003,3.7,2.5,12
2161292,2024-12-13,2.65,3.6,1.925,12
2161292,2024-12-14,2.1416666666666666,2.6,1.625,12
2161292,2024-12-15,1.9291666666666665,2.4,1.35,12
2161292,2024-12-16,3.35,6.1,2.575,12
2161292,2024-12-17,5.841666666666666,7.3,7.125,12
2161292,2024-12-18,4.908333333333333,7.0,5.425,12
2161292,2024-12-19,5.404166666666666,8.0,5.0,12
2161292,2024-12-20,5.3374999999999995,7.9,6.45,12
2161292,2024-12-21,5.258333333333334,6.2,5.5,12
2161292,2024-12-22,5.245833333333334,6.3,5.75,12
2161292,2024-12-23,5.916666666666667,7.7,7.625,12
2161292,2024-12-24,5.183333333333334,7.6,5.225,12
2161292,2024-12-25,7.104166666666667,8.7,8.225,12
2161292,2024-12-26,6.316666666666666,8.2,7.675,12
2161292,2024-12-27,4.145833333333333,5.8,3.275,12
2161292,2024-12-28,3.216666666666667,6.0,1.9,12
2161292,2024-12-29,4.504166666666666,5.5,4.975,12
2161292,2024-12-30,3.6,4.3,4.225,12
2161292,2024-12-31,3.6791666666666667,4.4,3.525,12
2161292,2025-01-01,5.520833333333333,7.4,5.975,1
2161292,2025-01-02,5.666666666666667,8.4,7.1499999999999995,1
2161292,2025-01-03,5.479166666666667,7.8,6.025,1
2161292,2025-01-04,5.645833333333333,7.5,7.0,1
2161292,2025-01-05,4.8500000000000005,7.4,5.375,1
2161292,2025-01-06,6.029166666666666,7.4,6.15,1
2161292,2025-01-07,5.654166666666666,8.7,6.6,1
2161292,2025-01-08,3.6625,5.0,3.375,1
2161292,2025-01-09,3.3249999999999997,4.0,3.475,1
2161292,2025-01-10,1.7791666666666668,2.7,1.2,1
2161292,2025-01-11,2.0833333333333335,3.8,1.475,1
2161292,2025-01-12,3.8541666666666665,5.7,4.575,1
2161292,2025-01-13,5.008333333333334,7.5,6.9,1
2161292,2025-01-14,4.066666666666666,6.1,4.5,1
2161292,2025-01-15,4.420833333333333,6.5,4.7749999999999995,1
2161292,2025-01-16,3.4958333333333336,5.6,3.325,1
2161292,2025-01-17,4.5625,6.5,6.2,1
2161292,2025-01-18,3.545833333333333,5.2,3.85,1
2161292,2025-01-19,4.345833333333333,6.7,4.5,1
2161292,2025-01-20,6.2875000000000005,8.5,7.65,1
2161292,2025-01-21,4.558333333333334,6.3,5.4,1
2161292,2025-01-22,4.154166666666667,5.4,5.2,1
2161292,2025-01-23,3.033333333333333,3.8,3.2249999999999996,1
2161292,2025-01-24,2.1666666666666665,3.3,1.4,1
2161292,2025-01-25,1.8291666666666666,2.9,1.325,1
2161292,2025-01-26,1.5708333333333335,1.9,1.275,1
2161292,2025-01-27,2.0208333333333335,3.2,1.6,1
2161292,2025-01-28,2.254166666666667,3.5,1.65,1
2161292,2025-01-29,3.3708333333333336,4.8,4.05,1
2161292,2025-01-30,3.8833333333333333,6.4,5.375,1
2161292,2025-01-31,2.2083333333333335,3.2,2.0,1
2161292,2025-02-01,1.9083333333333332,3.1,1.375,2
2161292,2025-02-02,1.9708333333333332,3.0,1.35,2
2161292,2025-02-03,1.6083333333333334,2.3,1.3,2
2161292,2025-02-04,2.1625,4.1,1.2,2
2161292,2025-02-05,2.8791666666666664,3.9,2.425,2
