hcho_valid_pixels,hcho_mean,hcho_std,hcho_min,hcho_max,hcho_median,location_id,date
154,0.00020880547526758164,0.00013004543143324554,-8.680780592840165e-05,0.0005842093960382044,0.00021541860769502819,6123215,2024-11-08
156,0.0002692809503059834,0.00013641802070196718,-0.0001995722413994372,0.0006049650837667286,0.0002717536117415875,6123215,2024-11-09
156,0.00024691916769370437,0.0001453863806091249,-4.360145248938352e-05,0.000709464424289763,0.00024229096015915275,6123215,2024-11-10
156,0.00022842235921416432,0.0001593818742549047,-0.00018782822007779032,0.0008016666397452354,0.00022487157548312098,6123215,2024-11-11
151,0.00019636044453363866,8.344293746631593e-05,7.648402061022352e-06,0.00039307179395109415,0.00019700234406627715,6123215,2024-11-12
144,0.00015920220175758004,0.00010096494952449575,-3.488243237370625e-05,0.0004272074729669839,0.00014612528320867568,6123215,2024-11-13
156,0.00019896436424460262,9.47366061154753e-05,-9.813952055992559e-05,0.0004476067842915654,0.00018620863556861877,6123215,2024-11-14
156,0.00021697432384826243,0.00010318646673113108,5.133347804076038e-05,0.0004810621321666986,0.00019137022900395095,6123215,2024-11-15
153,0.0001976212370209396,0.0001295903930440545,-0.00016597792273387313,0.0005005865823477507,0.00022341703879646957,6123215,2024-11-16
156,0.0002386844571447,0.00010481191566213965,1.6574584151385352e-05,0.0005154476966708899,0.0002485392615199089,6123215,2024-11-17
51,0.00020114390645176172,6.260155350901186e-05,8.428136789007112e-05,0.0004312474047765136,0.00019329327915329486,6123215,2024-11-18
156,0.00017556727107148618,0.00011001349048456177,-4.5588938519358635e-05,0.000426353799412027,0.00018493707466404885,6123215,2024-11-19
156,0.0002262046909891069,0.00012335673091001809,-0.00012829677143599838,0.0005424446426331997,0.00021974602714180946,6123215,2024-11-20
156,0.00022589907166548073,0.00011164996249135584,-3.092748738708906e-05,0.0005095422966405749,0.00022189290029928088,6123215,2024-11-21
109,0.0001381087495246902,9.139995381701738e-05,-8.748218533582985e-05,0.0003516808501444757,0.00013008774840272963,6123215,2024-11-22
110,0.00010168411245103925,7.188491144916043e-05,-9.457483247388154e-05,0.0002929719630628824,0.00010687505709938705,6123215,2024-11-23
